concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
0,"""Cisplatin, Etoposide, Atezolizumab""",Regimen,AZDELTA,Regimen,,KUUR_0000001512,2021-12-20,2099-12-31,
0,"""Cisplatin, Etoposide, Atezolizumab""",Regimen,AZDELTA,Regimen,,KUUR_0000001513,2021-12-20,2099-12-31,
0,Cisplatin + Emend,Regimen,AZDELTA,Regimen,,KUUR_0000001346,2021-12-20,2099-12-31,
0,"""Fluorouracil, Leucovorin, Panitumumab""",Regimen,AZDELTA,Regimen,,KUUR_ZH00000508,2021-12-20,2099-12-31,
0,FOLFIRINOX and Bevacizumab (L-Leucovorin) + Aloxi,Regimen,AZDELTA,Regimen,,KUUR_ZH00000168,2021-12-20,2099-12-31,
0,FOLFOX4 and Trastuzumab,Regimen,AZDELTA,Regimen,,KUUR_0000001238,2021-12-20,2099-12-31,
0,FOLFOX4 and Trastuzumab,Regimen,AZDELTA,Regimen,,KUUR_0000001236,2021-12-20,2099-12-31,
0,Olaratumab monotherapy,Regimen,AZDELTA,Regimen,,KUUR_ZH00000969,2021-12-20,2099-12-31,
0,Mini-Haplo,Regimen,AZDELTA,Regimen,,KUUR_ZH00000680,2021-12-20,2099-12-31,
0,Cisplatin and Gemcitabine (GCb) and Pembrolizumab,Regimen,AZDELTA,Regimen,,KUUR_0000001460,2021-12-20,2099-12-31,
0,Durvalumab and/or Tremelimumab,Regimen,AZDELTA,Regimen,,KUUR_ZH00001016,2021-12-20,2099-12-31,
0,Nivolumab/Placebo,Regimen,AZDELTA,Regimen,,KUUR_0000001960,2021-12-20,2099-12-31,
0,"""Nivolumab/Placebo, Carboplatin, Paclitaxel""",Regimen,AZDELTA,Regimen,,KUUR_0000002304,2021-12-20,2099-12-31,
0,"""Nivolumab/Placebo, Carboplatin, Paclitaxel""",Regimen,AZDELTA,Regimen,,KUUR_0000001959,2021-12-20,2099-12-31,
0,"""Nivolumab/Placebo, Cisplatin, Pemetrexed""",Regimen,AZDELTA,Regimen,,KUUR_0000001958,2021-12-20,2099-12-31,
0,Canakinumab/Placebo and Docetaxel,Regimen,AZDELTA,Regimen,,KUUR_0000001626,2021-12-20,2099-12-31,
0,Canakinumab and Docetaxel,Regimen,AZDELTA,Regimen,,KUUR_0000001533,2021-12-20,2099-12-31,
